,Projects,Unit in charge,Expected Activities ,Allocated Budget,Total Spended Budget,KPI, Total Actual Performance,Targeted Performance,Activities performed,Department,Cost,Level of Achievement by Dep.
62,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,,,,,d,80.0,,,,,
60,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,b,60.0,,,as,,12.0
59,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,T,20.0,,,ed,,123.0
58,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,G,60.0,,,d,,12.0
57,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,,,,,,,,,,,
56,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,رضا المستفيدين عن مصادر التعلم,40.0,,,,,
61,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,,,,,c,100.0,,,,,
0,إطلاق ودعم البوابة الرقمية للجامعة ,,,,,"رضا المستفيدين عن الخدمات التقنية
",,,,,,
1,إطلاق ودعم البوابة الرقمية للجامعة ,الاستاذ يزيد ال قحاص,,50000,,عدد الخدمات الالكترونية المقدمة ,,,,,,
2,الاستثمار في البحث والابتكار وريادة الاعمال,وحدة البحث والابتكار,,,,,,,,,,
3,التقييم المستمر لاحتياجات سوق العمل وانشاء مناهج أكثر استجابة ,وحدة المناهج ,,,,,,,,,,
8,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,معدل رضا الطلاب والمستفيدين,,,,,,
7,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,عدد المقاعد التدريبية المتاحة للتدريب,,,,,,
6,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,عدد الشراكات المبرمة مع المستشفيات التدريبية,,,,,,
4,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,وحدة التعاون والتدريب الاكلينيكي,,350000,,"عدد الأنشطة اللاصفية




",,,,,,
5,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,عدد البرامج المشتركة المنفذة,,,,,,
9,المحاكاة والمدينة الخضراء,وحدة المحاكاة والتصنيف المهني ,,550,,رضا الطلاب عن الخدمات المقدمة ,,,,,,
10,المحاكاة والمدينة الخضراء,,,,,عدد مهارات الطلاب وتحسين مستوى الأداء بالمحاكاة,,,,,,
16,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,E,CS,,
17,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,WE,Health Information System,,
11,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,وحدة الخدمة المجتمعية والانشطة الطلابية ,B,,0,CA,20.0,,C,Nurse,,
12,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,CB,11.0,,CD,Respiratory,,
14,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,VD,Respiratory,,
13,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,AD,Information Technology,,
15,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,G,EMS,,
22,تحسين الحضور الجامعي الدولي ,,,,,,,,WE,CS,,
24,تحسين الحضور الجامعي الدولي ,,,,,,,,gf,CS,,
23,تحسين الحضور الجامعي الدولي ,,,,,,,,fed,Information Technology,,
21,تحسين الحضور الجامعي الدولي ,,,,,,,,ef,Health Information System,,
20,تحسين الحضور الجامعي الدولي ,,,,,,,,de,Information Technology,,
